go:0000001 | distribution_of | mitochondria
go:0009221 | is_a | chemical_reactions_and_pathways
nucleoside | esterified_with | phosphate_group
deoxyribose_sugar | has_hydroxyl_group | 5'-hydroxyl_group
nucleoside | consists_of | pyrimidine_base
pyrimidine_deoxyribonucleotide | consists_of | nucleoside
nucleoside | consists_of | deoxyribose_sugar
phosphate_group | esterified_at | 3'-hydroxyl_group
pyrimidine_deoxyribonucleotide | esterified_with | phosphate_group
phosphate_group | esterified_at | 5'-hydroxyl_group
deoxyribose_sugar | has_hydroxyl_group | 3'-hydroxyl_group
nucleoside | esterified_with | phosphate_group
pyrimidine_ribonucleotide | consists_of | nucleoside
ribose_sugar | has_hydroxyl_group | 5'_hydroxyl_group
nucleoside | consists_of | pyrimidine_base
go:0009222 | results_in | breakdown_of_pyrimidine_ribonucleotide
nucleoside | consists_of | ribose_sugar
ribose_sugar | has_hydroxyl_group | 3'_hydroxyl_group
phosphate_group | esterified_at | 5'_hydroxyl_group
phosphate_group | esterified_at | 3'_hydroxyl_group
nucleoside | esterified_with | phosphate_group
pyrimidine_deoxyribonucleotide | consists_of | nucleoside
nucleoside | linked_to | pyrimidine_base
go:0009223 | results_in | breakdown_of_pyrimidine_deoxyribonucleotide
nucleoside | linked_to | deoxyribose_sugar
go:0009224 | involves_formation_of | cmp
go:0009224 | involves_formation_of | cytidine_monophosphate
nucleotide-carbohydrate | has_part | nucleoside_5'-diphosphate
distal_phosphoric_residue | in_glycosidic_linkage_with | monosaccharide
nucleotide-sugars | is_a | nucleotide-carbohydrate
nucleoside_5'-diphosphate | has_part | distal_phosphoric_residue
go:0009225 | involves | nucleotide-sugars
go:0009226 | results_in_formation_of | nucleotide-sugars
nucleotide-carbohydrate | has_part | nucleoside_5'-diphosphate
nucleotide-sugars | is_a | nucleotide-carbohydrate
nucleoside_5'-diphosphate | has_part | phosphoric_residue
phosphoric_residue | in_glycosidic_linkage_with | monosaccharide
thiamine | present_in | meats
thiamine | is_a | vitamin_b1
go:0009228 | results_in_formation_of | thiamine
thiamine | is_a | water_soluble_vitamin
meats | includes | liver
thiamine | present_in | fresh_vegetables
go:0009229 | results_in_formation_of | thiamine_diphosphate
thiamine_diphosphate | is_derivative_of | thiamine
thiamine_diphosphate | acts_as | coenzyme
thiamine_diphosphate | involved_in | krebs_cycle
thiamine | present_in | meats
thiamine | is_a | vitamin_b1
thiamine | present_in | liver
thiamine | is_a | water_soluble_vitamin
go:0009230 | results_in | breakdown_of_thiamine
thiamine | present_in | fresh_vegetables
riboflavin | precursor_for | flavin_adenine_dinucleotide
go:0009231 | results_in_formation_of | riboflavin
flavin_mononucleotide | is_a | coenzyme
flavin_adenine_dinucleotide | is_a | coenzyme
riboflavin | is_a | vitamin_b2
riboflavin | precursor_for | flavin_mononucleotide
riboflavin | precursor_for | flavin_adenine_dinucleotide
go:0009232 | results_in_breakdown_of | riboflavin
riboflavin | precursor_for | flavin_mononucleotide
side_chains | composed_of | unsaturated_isoprenoid_residues
menaquinones | known_as | vitamin_k2
go:0009233 | definition_of | menaquinones
menaquinones | consist_of | side_chains
menaquinones | consist_of | methylated_naphthoquinone_ring_structure
menaquinones | have_activity | vitamin_k_activity
cobalamin | characterized_by | possession_of_corrin_nucleus
go:0009235 | involves_chemical_reactions_and_pathways | cobalamin
cobalamin | is_a | vitamin_b12
corrin_nucleus | contains | cobalt_atom
cobalamin | is_a | water-soluble_vitamin
cobalamin | characterized_by | possession_of_corrin_nucleus
go:0009236 | is_definition_of | cobalamin_formation
cobalamin | is_a | vitamin_b12
corrin_nucleus | contains | cobalt_atom
cobalamin | is_a | water-soluble_vitamin
fe(3+)_siderophore_complexes | are_taken_up_by | specific_transport_systems
go:0009237 | definition_of | chemical_reactions_and_pathways_involving_siderophores
specific_transport_systems | are_used_by | microorganisms
siderophores | are_made_by | aerobic_or_facultatively_anaerobic_bacteria
go:0009239 | results_in_formation_of | enterobactin
enterobactin | is_a | product
enterobactin | is_a | catechol-derived_siderochrome
catechol-derived_siderochrome | of | enterobacteria
product | of | shikimate_pathway
self-triester | of | 2,3-dihydroxy-n-benzoyl-l-serine
n',n',n''-(2,6,10-trioxo-1,5,9-triacyclodecane-3,7,11-triyl)tris(2,3-dihydroxy)benzamide | is_a | self-triester
enterobactin | is_a | n',n',n''-(2,6,10-trioxo-1,5,9-triacyclodecane-3,7,11-triyl)tris(2,3-dihydroxy)benzamide
go:0009242 | results_in_formation_of | colanic_acid
colanic_acid | is_a | capsular_bacterial_polysaccharide
o_side_chain | made_up_of | repeating_units
repeating_units | is_a | branched_tetrasaccharide
go:0009243 | results_in | formation_of_o_side_chain
o_side_chain | determines | antigenic_specificity
bacterial_lipopolysaccharides_core_region | contains | ten_saccharide_residues
go:0009244 | results_in_formation_of | bacterial_lipopolysaccharides_core_region
lipid_a | consists_of | fatty_acyl_chains
lipid_a | consists_of | glucosamine_residues
go:0009245 | results_in_formation_of | lipid_a
lipid_a | is_glycolipid_group_of | bacterial_lipopolysaccharides
lipid_a | undergoes | further_modifications
go:0009246 | is_a | chemical_reactions_and_pathways
enterobacterial_common_antigen | is_a | acidic_polysaccharide
enterobacterial_common_antigen | is_a_component_of | cell_wall_outer_membrane
enterobacterial_common_antigen | contains | n-acetyl-d-glucosamine
cell_wall_outer_membrane | is_part_of | gram-negative_bacteria
enterobacterial_common_antigen | contains | n-acetyl-d-mannosaminouronic_acid
enterobacterial_common_antigen | contains | 4-acetamido-4,6-dideoxy-d-galactose
glycosidic_linkage | joined_to | carbohydrate_part
1,2-di-o-acylglycerols | joined_at_oxygen_3_by | glycosidic_linkage
carbohydrate_part | is_usually | tri-saccharide
go:0009247 | results_in_formation_of | glycolipid
carbohydrate_part | is_usually | mono-saccharide
carbohydrate_part | is_usually | di-saccharide
glycolipid | is_a_class_of | 1,2-di-o-acylglycerols
go:0009248 | results_in_formation_of | k_antigen
somatic_o_antigens | are_masked_by | k_antigen
k_antigen | is_a | capsular_polysaccharide_antigen
k_antigen | is_carried_on | surface_of_bacterial_capsules
k_antigen | masks | somatic_o_antigens
glucans | are_a_type_of | polysaccharides
go:0009250 | is_a | glucan_biosynthesis
glucans | composed_of | glucose_residues
glucose_residues | part_of | glucans
go:0009251 | results_in | breakdown_of_glucans
glucose_residues | are_part_of | glucans
glucans | are | polysaccharides
glucans | consisting_of | glucose_residues
glycan_strands | consists_of | n-acetylmuramic_acid
chemical_reactions_and_pathways | results_in | formation_of_peptidoglycans
go:0009252 | is_a | chemical_reactions_and_pathways
glycan_strands | consists_of | n-acetylglucosamine
peptidoglycans | consists_of | glycan_strands
peptidoglycans | found_in | bacterial_cell_walls
glycan_strands | cross-linked_by | short_peptides
glycan_strands | composed_of | n-acetylmuramic_acid
go:0009253 | part_of | chemical_reactions_and_pathways
chemical_reactions_and_pathways | results_in | breakdown_of_peptidoglycans
peptidoglycans | consists_of | glycan_strands
glycan_strands | cross-linked_by | short_peptides
peptidoglycans | found_in | bacterial_cell_walls
glycan_strands | composed_of | n-acetylglucosamine
alternating_residues | composed_of | beta-(1,4)_linked_n-acetylglucosamine
peptidoglycan | required_for | maintain_the_bacterial_cell_wall
alternating_residues | composed_of | n-acetylmuramic_acid
peptidoglycan | consists_of | long_glycan_strands
long_glycan_strands | composed_of | alternating_residues
go:0009254 | definition | continual_breakdown_and_regeneration_of_peptidoglycan
peptidoglycan | cross-linked_by | short_peptides
go:0009255 | part_of | carbohydrate_metabolism_pathway
go:0009255 | produces | glyceraldehyde-3_phosphate
go:0009255 | involves | dehydration
go:0009255 | has_reactant | carbohydrate
go:0009255 | produces | 6-phosphogluconate
go:0009255 | has_product | pyruvate
go:0009256 | definition_involves | 10-formyltetrahydrofolate
10-formyltetrahydrofolate | is_a | formylated_derivative_of_tetrahydrofolate
go:0009257 | results_in_formation_of | 10-formyltetrahydrofolate
10-formyltetrahydrofolate | is_formylated_derivative_of | tetrahydrofolate
go:0009258 | results_in_breakdown_of | 10-formyltetrahydrofolate
10-formyltetrahydrofolate | is_formylated_derivative_of | tetrahydrofolate
ribonucleoside | consists_of | base
ribonucleoside | consists_of | ribose_sugar
ribonucleotide | consists_of | phosphate_group
ribose_sugar | has_hydroxyl_group | 5'_hydroxyl_group
ribonucleotide | consists_of | ribonucleoside
ribonucleoside | esterified_with | phosphate_group
ribose_sugar | has_hydroxyl_group | 3'_hydroxyl_group
go:0009259 | involves | chemical_reactions_and_pathways
chemical_reactions_and_pathways | involves | ribonucleotide
phosphate_group | esterified_at | 5'_hydroxyl_group
phosphate_group | esterified_at | 3'_hydroxyl_group
go:0009260 | involves_formation_of | ribonucleotide
ribonucleoside | consists_of | base
ribonucleoside | consists_of | ribose_sugar
ribose_sugar | has_hydroxyl_group | 5'_hydroxyl_group
ribonucleoside | esterified_with | phosphate_group
ribonucleotide | consists_of | ribonucleoside
ribose_sugar | has_hydroxyl_group | 3'_hydroxyl_group
phosphate_group | esterified_at | 5'_hydroxyl_group
phosphate_group | esterified_at | 3'_hydroxyl_group
ribonucleoside | consists_of | base
ribonucleoside | consists_of | ribose_sugar
ribonucleoside | linked_to | ribose_sugar
ribonucleotide | consists_of | phosphate_group
ribonucleotide | consists_of | ribonucleoside
ribonucleoside | linked_to | base
go:0009261 | definition | chemical_reactions_and_pathways_resulting_in_breakdown_of_a_ribonucleotide
chemical_reactions_and_pathways_resulting_in_breakdown_of_a_ribonucleotide | results_in | breakdown_of_a_ribonucleotide
phosphate_group | esterified_at | 5'_hydroxyl_group
phosphate_group | esterified_with | ribonucleoside
phosphate_group | esterified_at | 3'_hydroxyl_group
deoxyribonucleoside | linked_to | base
deoxyribonucleoside | linked_to | deoxyribose_sugar
deoxyribose_sugar | has_hydroxyl_group | 5'_hydroxyl_group
deoxyribonucleotide | esterified_with | phosphate_group
go:0009263 | results_in_formation_of | deoxyribonucleotide
deoxyribonucleotide | consists_of | deoxyribonucleoside
deoxyribose_sugar | has_hydroxyl_group | 3'_hydroxyl_group
phosphate_group | esterified_at | 5'_hydroxyl_group
phosphate_group | esterified_at | 3'_hydroxyl_group
deoxyribonucleoside | linked_to | base
deoxyribonucleoside | linked_to | deoxyribose_sugar
deoxyribose_sugar | has_hydroxyl_group | 5'_hydroxyl_group
deoxyribonucleotide | esterified_with | phosphate_group
deoxyribonucleotide | consists_of | deoxyribonucleoside
deoxyribose_sugar | has_hydroxyl_group | 3'_hydroxyl_group
phosphate_group | esterified_at | 5'_hydroxyl_group
go:0009264 | involves_breakdown_of | deoxyribonucleotide
phosphate_group | esterified_at | 3'_hydroxyl_group
2'-deoxyribonucleoside | linked_to | 2'-deoxyribose_sugar
2'-deoxyribonucleoside | esterified_with | phosphate_group
go:0009265 | results_in_formation_of | 2'-deoxyribonucleotide
2'-deoxyribonucleotide | consists_of | 2'-deoxyribonucleoside
go:0009266 | results_in_change_in | cell_activity
temperature_stimulus | causes | go:0009266
go:0009266 | results_in_change_in | organism_activity
go:0009267 | results_in | change_in_state_or_activity_of_a_cell
deprivation_of_nourishment | causes | change_in_state_or_activity_of_a_cell
state_or_activity_of_a_cell_or_an_organism | as_a_result_of | ph_stimulus
ph | is_a_measure_of | acidity_or_basicity_of_an_aqueous_solution
go:0009268 | results_in_change_in | state_or_activity_of_a_cell_or_an_organism
extreme_dryness | results_from | prolonged_deprivation_of_water
desiccation_stimulus | results_from | extreme_dryness
go:0009269 | results_in | change_in_state_or_activity_of_a_cell_or_an_organism
change_in_state_or_activity_of_a_cell_or_an_organism | as_a_result_of | desiccation_stimulus
go:0009270 | results_in_change_in | cell_or_organism_state_or_activity
moisture_in_the_atmosphere | is_a | stimulus
humidity_stimulus | results_in | change_in_cell_or_organism_state_or_activity
moisture_in_the_atmosphere | results_in | change_in_cell_or_organism_state_or_activity
humidity_stimulus | is_a | stimulus
stress | includes | extremes_of_ethanol_concentration
stress | includes | extremes_of_temperature
go:0009271 | protects_from | damage
go:0009271 | acts_to | protect_bacterial_cells
bacterial_cells | responds_to | stress
stress | includes | filamentous_phage_infection
stress | includes | extremes_of_osmolarity
go:0009271 | involves | expression_of_phage_shock_protein_operon
go:0009271 | response_by | bacterial_cells
proton_ionophores | example_of | carbonylcyanide_m-chlorophenylhydrazone
stress | includes | mislocalization_of_envelope_proteins
stress | includes | presence_of_proton_ionophores
go:0009272 | results_in | biosynthesis_of_constituent_macromolecules
go:0009272 | results_in | arrangement_of_constituent_parts
go:0009272 | results_in | assembly_of_constituent_parts
fungal-type_cell_wall | contains | beta-glucan
fungal-type_cell_wall | may_contain | chitin
escherichia_coli | example_of | go:0009273
peptidoglycan | component_of | cell_wall
go:0009274 | is_a | protective_structure
glycan_backbone | composed_of | n-acetylglucosamine
peptide_chains | contain | unusual_amino_acids
escherichia_coli | has_component | go:0009274
glycan_backbone | composed_of | n-acetylmuramic_acid
peptidoglycan | made_up_of | glycan_backbone
peptidoglycan | contains | peptide_chains
protective_structure | composed_of | peptidoglycan
go:0009275 | part_of | cell_wall
teichoic_acids | bound_to | peptidoglycan
cell_wall | appears_blue_after | gram_stain
peptidoglycan | is_thick | 20-80nm
peptidoglycan | retains | primary_stain
cell_wall | is_outside_of | cytoplasmic_membrane
cell_wall | found_in | gram-positive_bacteria
peptidoglycan | component_of | cell_wall
cell_wall | contains | teichoic_acids
peptidoglycan | too_thin_to_retain | primary_stain
peptidoglycan | causes | cells_appear_red_after_gram_stain
go:0009276 | part_of | gram-negative_cell_envelope
peptidoglycan | located_in | gram-negative_cells
lipoproteins | linked_to | outer_membrane
peptidoglycan | linked_to | outer_membrane
capsule | is_separate_structure_from | cell_wall
polysaccharides | are_primarily | branched_glucans
polysaccharides | may_include | other_carbohydrate_polymers
go:0009277 | consists_of | glycoproteins_and_carbohydrates
branched_glucans | include | beta-linked_glucans
cell_wall | contains | enzymes
polysaccharides | may_include | chitin
glycoproteins | may_be_modified_with | n-or_o-linked_carbohydrates
branched_glucans | include | alpha-linked_glucans
glycoproteins | may_be_modified_with | glycosylphosphatidylinositol_gpi_anchors
enzymes | involved_in | cell_wall_biosynthesis
outer_leaflet | contains | lipopolysaccharide_structures
go:0009279 | enriched_in | polysaccharide
outer_leaflet | part_of | go:0009279
go:0009279 | forms_part_of | cell_envelope
motor_complex | composed_of | rotary_motor
extracellular_helical_protein_filament | coupled_to | rotary_motor
motor_complex | composed_of | extracellular_helical_protein_filament
go:0009288 | composed_of | motor_complex
rotary_motor | embedded_in | cell_envelope
proteinaceous_hair-like_appendage | located_on | bacteria
go:0009289 | is_a | proteinaceous_hair-like_appendage
proteinaceous_hair-like_appendage | has_diameter | 2-8_nm
go:0009290 | is_a | directed_movement_of_dna_into_a_cell
